Country,Month,Year,Average Policy Change, Standard Deviation
Belgium,March,2009,0.00661289260994,0.0526985209156
Denmark,March,2009,0.00842385023463,0.0309420323046
Poland,March,2009,4.23529486361e-05,0.011550925835
Switzerland,March,2009,0.0104891695269,0.0725583619119
Italy,March,2009,-0.0441108915554,0.0880379301577
Malta,March,2009,-0.00393352306887,0.0310845936333
United Kingdom of Great Britain and Northern Ireland,March,2009,0.00829585249967,0.0563683724163
Greece,March,2009,0.00431875542194,0.0504507154719
Rep. of Korea,March,2009,-0.000653762460567,0.00562594707578
Canada,June,2010,-0.0261678947288,0.183093005261
Lithuania,June,2010,0.00524075932354,0.0126481930922
Slovenia,June,2010,0.0025081922471,0.00347394463653
Germany,June,2010,0.013886351288,0.069601489893
Spain,June,2010,0.00301934825963,0.0251564718736
Netherlands,June,2010,-0.00987119128952,0.0332199757314
New Zealand,June,2010,0.0577878842693,0.0908528322308
Hungary,June,2010,0.00150246788179,0.0200470955874
France,June,2010,-0.00895385178606,0.107564331758
Slovakia,June,2010,0.00395318829886,0.0263295892914
Norway,June,2010,-0.00794381836827,0.020761183145
USA (EOIR),June,2010,0.0112090191377,0.126564914
Finland,June,2010,-0.00536608672156,0.033489560284
Sweden,June,2010,-0.0162447096888,0.0439687411247
Australia,June,2010,0.0321016074723,0.170771329024
Bulgaria,June,2010,-0.00741110355876,0.0159040024665
Romania,June,2010,0.00213163853963,0.0234127677524
Czech Rep.,June,2010,-0.00936156503347,0.0135495963711
Portugal,June,2010,0.0111634005468,0.0180728585376
Cyprus,June,2010,0.000315272275274,0.0270602722028
Liechtenstein,June,2010,0.00018602331866,0.000641148022829
Austria,June,2010,-0.00250732415926,0.0246715322707
Japan,June,2010,-0.00883453920316,0.0387246264528
Luxembourg,June,2010,0.000140592173355,0.00551143702716
Ireland,June,2010,-0.0118779667674,0.0418200275258
USA (INS/DHS),June,2010,0.0284798407435,0.108209351165
Belgium,June,2010,-0.0219799729169,0.0943151649532
Denmark,June,2010,-0.00197860420221,0.0126196134516
Poland,June,2010,-0.000783888778654,0.0140601280388
Croatia,June,2010,-0.000723349698812,0.0049854324483
Switzerland,June,2010,0.00419039067895,0.0306054290186
Italy,June,2010,-0.0055741605845,0.0668963785243
Malta,June,2010,-0.00825913189956,0.00884415054161
United Kingdom of Great Britain and Northern Ireland,June,2010,0.00509595241263,0.0963396040656
Latvia,June,2010,-0.000384344435699,0.000895903625543
Greece,June,2010,0.0189633859911,0.0467355233926
Rep. of Korea,June,2010,0.00243237460661,0.00942624299697
Canada,May,2001,0.00167331353859,0.113721179681
Slovenia,May,2001,-0.0167438330269,0.0337845266723
Germany,May,2001,0.0040425234309,0.0619928702335
Spain,May,2001,0.00225436776002,0.0318363859383
Netherlands,May,2001,-0.0121241343696,0.0491794523956
New Zealand,May,2001,0.0213350136945,0.0504930518398
France,May,2001,-0.00011602641936,0.133863767808
Slovakia,May,2001,0.00924875135153,0.0187947270473
Norway,May,2001,0.0245392245423,0.0619227752158
